date,sales
1/1/2018,26
1/2/2018,16
1/3/2018,17
1/4/2018,25
1/5/2018,34
1/6/2018,25
1/7/2018,21
1/8/2018,24
1/9/2018,21
1/10/2018,30
1/11/2018,23
1/12/2018,28
1/13/2018,35
1/14/2018,15
1/15/2018,29
1/16/2018,19
1/17/2018,27
1/18/2018,15
1/19/2018,30
1/20/2018,22
1/21/2018,21
1/22/2018,31
1/23/2018,20
1/24/2018,16
1/25/2018,31
1/26/2018,28
1/27/2018,29
1/28/2018,14
1/29/2018,20
1/30/2018,18
1/31/2018,38
2/1/2018,26
2/2/2018,21
2/3/2018,29
2/4/2018,21
2/5/2018,26
2/6/2018,21
2/7/2018,27
2/8/2018,24
2/9/2018,35
2/10/2018,29
2/11/2018,20
2/12/2018,27
2/13/2018,27
2/14/2018,27
2/15/2018,26
2/16/2018,35
2/17/2018,27
2/18/2018,18
2/19/2018,29
2/20/2018,34
2/21/2018,21
2/22/2018,20
2/23/2018,21
2/24/2018,38
2/25/2018,19
2/26/2018,21
2/27/2018,32
2/28/2018,35
3/1/2018,31
3/2/2018,35
3/3/2018,37
3/4/2018,25
3/5/2018,32
3/6/2018,23
3/7/2018,33
3/8/2018,25
3/9/2018,34
3/10/2018,36
3/11/2018,18
3/12/2018,25
3/13/2018,31
3/14/2018,27
3/15/2018,34
3/16/2018,33
3/17/2018,40
3/18/2018,27
3/19/2018,26
3/20/2018,30
3/21/2018,27
3/22/2018,35
3/23/2018,31
3/24/2018,32
3/25/2018,27
3/26/2018,26
3/27/2018,23
3/28/2018,29
3/29/2018,32
3/30/2018,31
3/31/2018,44
4/1/2018,27
4/2/2018,36
4/3/2018,32
4/4/2018,51
4/5/2018,34
4/6/2018,52
4/7/2018,40
4/8/2018,29
4/9/2018,30
4/10/2018,33
4/11/2018,26
4/12/2018,35
4/13/2018,51
4/14/2018,52
4/15/2018,23
4/16/2018,36
4/17/2018,38
4/18/2018,43
4/19/2018,34
4/20/2018,32
4/21/2018,49
4/22/2018,38
4/23/2018,37
4/24/2018,30
4/25/2018,36
4/26/2018,40
4/27/2018,40
4/28/2018,35
4/29/2018,22
4/30/2018,47
5/1/2018,46
5/2/2018,42
5/3/2018,43
5/4/2018,47
5/5/2018,44
5/6/2018,31
5/7/2018,39
5/8/2018,38
5/9/2018,47
5/10/2018,31
5/11/2018,48
5/12/2018,53
5/13/2018,29
5/14/2018,33
5/15/2018,38
5/16/2018,43
5/17/2018,41
5/18/2018,39
5/19/2018,37
5/20/2018,30
5/21/2018,36
5/22/2018,30
5/23/2018,30
5/24/2018,44
5/25/2018,54
5/26/2018,49
